DateTime,AddedIPs,RemovedIPs
1482098522,79,79
1482099722,80,80
1482100922,80,80
1482101522,77,77
1482102121,76,76
1482102721,80,80
1482103322,80,80
1482103921,80,80
1482104522,80,80
1482105722,80,80
1482106322,79,79
1482106922,80,80
1482107522,79,79
1482108122,62,62
1482108721,76,76
1482109321,80,80
1482109922,80,80
1482110522,80,80
1482111121,80,80
1482111722,74,74
1482112921,80,80
1482113522,80,80
1482114121,79,79
1482114721,78,78
1482115322,78,78
1482115922,72,72
1482116522,80,80
1482117122,80,80
1482117722,80,80
1482118321,80,80
1482118922,75,75
1482120122,80,80
1482120722,76,76
1482121921,77,77
1482122522,80,80
1482123121,79,79
1482123722,80,80
1482124922,80,80
1482125522,80,80
1482126121,80,80
1482126722,80,80
1482127321,72,72
1482127923,80,80
1482128522,80,80
1482129121,79,79
1482129722,80,80
1482130321,80,80
1482130921,78,78
1482131522,79,79
1482132122,79,79
1482132721,79,79
1482133321,80,80
1482133921,79,79
1482134522,79,79
1482135122,80,80
1482135722,79,79
1482136321,80,80
1482136921,75,75
1482137521,80,80
1482138122,80,80
1482138722,77,77
1482139321,79,79
1482139922,77,77
1482140522,80,80
1482141121,80,80
1482141722,80,80
1482142322,79,79
1482142921,80,80
1482144122,80,80
1482144722,80,80
1482145321,80,80
1482146522,75,75
1482147721,80,80
1482148322,79,79
1482148922,80,80
1482149522,79,79
1482150121,79,79
1482150722,80,80
1482151322,80,80
1482152522,80,80
1482153121,78,78
1482153721,80,80
1482154321,80,80
1482154922,80,80
1482156121,80,80
1482156722,80,80
1482157322,80,80
1482157921,79,79
1482158522,79,79
1482159122,78,78
1482159721,80,80
1482160922,80,80
1482161521,80,80
1482162122,80,80
1482162722,80,80
1482163322,80,80
1482164522,80,80
1482165122,77,77
1482165721,79,79
1482166321,79,79
1482166922,79,79
1482167522,80,80
1482168122,80,80
1482168722,79,79
1482169322,80,80
1482169922,75,75
1482170522,77,77
1482171122,77,77
1482171722,80,80
1482172922,80,80
1482173522,80,80
1482174121,80,80
1482175321,80,80
1482175921,80,80
1482176522,80,80
1482177121,80,80
1482177721,80,80
1482178321,80,80
1482178922,80,80
1482180121,79,79
1482180721,80,80
1482181322,80,80
1482181921,80,80
1482182521,80,80
1482183121,80,80
1482183721,79,79
1482184321,78,78
1482184922,77,77
1482185522,80,80
1482186122,80,80
1482186721,80,80
1482187322,80,80
1482187921,79,79
1482188521,80,80
1482189121,80,80
1482189721,80,80
1482190321,80,80
1482190922,71,71
1482192122,80,80
1482192722,78,78
1482193322,80,80
1482193921,80,80
1482194521,78,78
1482195122,79,79
1482195722,80,80
1482196322,80,80
1482196922,79,79
